motor_type,temperature,vibration,current,speed,maintenance
Hybrid Moulding Machine Motor,59.993078937577714,7.297255461723458,43.348495506401655,1803.1545854419578,0
Automatic Mould-Handling Motor,70.30525614065049,6.085120087171929,26.292658457500302,1360.281073928923,0
Hybrid Moulding Machine Motor,70.19999643950784,5.430517715991637,33.61819107738127,1464.757349468595,0
Hybrid Moulding Machine Motor,63.669905784633336,1.1509483598094015,32.44630046890899,1679.3161400737824,0
Hybrid Moulding Machine Motor,65.10055547927335,6.777306474274665,26.188077070932366,1612.7094055037016,0
Dust Collector Fan Motor,60.19796919915271,7.894879642093278,19.746204007573095,1309.332077917608,0
Hybrid Moulding Machine Motor,69.8785249773586,3.855722677610249,49.870538945238266,1133.7469050086934,0
Dust Collector Fan Motor,53.97648556942014,5.293766695985863,15.231205690954901,1519.9971835525873,0
Dust Collector Fan Motor,66.7491065284309,7.763522077897221,11.945487942809354,1025.0117359389337,0
Dust Collector Fan Motor,83.72597067282437,8.141970374034738,18.57849887418155,1625.7306316792929,1
Hydraulic Gesa Moulding Motor,83.88900763273755,6.34475315875105,44.84616999541062,1683.5028866522603,0
Automatic Mould-Handling Motor,81.36305108345171,3.1865586628401403,33.80834069941577,1891.0983805195751,0
Dust Collector Fan Motor,58.286259814218894,5.381575248297571,19.987580588421384,1792.6635381367078,0
Dust Collector Fan Motor,63.03401850058368,4.460664452667784,25.273034052798756,1870.0490413629173,0
Hybrid Moulding Machine Motor,77.51315877307385,7.2414034608224265,27.546041481814214,1477.2588764915445,0
Automatic Mould-Handling Motor,78.61395605508415,8.076073132931938,29.71339168712039,1969.3930967442018,1
ID Fan Motor,51.31074544349614,2.8994709285867155,6.47713190291099,1415.758112541974,0
ID Fan Motor,55.550564659213016,0.11491730247892873,11.121312448649952,1607.1337714535239,0
Hydraulic Gesa Moulding Motor,62.976842443813304,8.071010954895502,57.0363074421473,1682.4268986002885,1
Automatic Mould-Handling Motor,80.01448331524806,7.316373305864055,32.056934960450235,1594.3538687589514,0
Hybrid Moulding Machine Motor,78.66377160999733,5.975768907907505,30.711484831041954,1392.0665564124038,0
ID Fan Motor,50.78768143673589,2.1068054240826783,10.43156738747137,1060.9455155603644,0
Hybrid Moulding Machine Motor,57.85549024090292,3.9523180365798245,41.52414687246158,1125.166883160022,0
Hydraulic Gesa Moulding Motor,66.84481045662373,10.244652965778037,45.009090696543566,1345.8637525475262,1
ID Fan Motor,51.02357011973072,2.3242326319100606,8.615931934177176,1253.2531893659814,0
Dust Collector Fan Motor,58.933383035854064,6.914831297438285,17.613731695194197,1603.4707005134185,0
Hydraulic Gesa Moulding Motor,94.84419287523754,3.2205633458233427,60.07033988312712,2092.371359086046,1
Dust Collector Fan Motor,74.14258251612017,7.503866065373549,22.74619168225828,1227.1837635615784,0
Hydraulic Gesa Moulding Motor,96.86246367053826,11.67697726047571,41.79038772205346,1523.0684845753715,1
ID Fan Motor,55.16859678008921,1.0634955239940367,15.158691219002689,1629.4468389789126,0
Hybrid Moulding Machine Motor,56.04402912040481,6.671407437015068,27.25235543528674,1642.0777291905545,0
ID Fan Motor,57.56807704593656,-0.4636386380811168,13.927916556011578,1777.9369075860966,0
ID Fan Motor,52.85952984539084,3.1673461582407585,16.175442443674633,1657.9344484004087,0
ID Fan Motor,44.736822528849814,2.6427741902751825,16.00194243104842,1545.7262586777779,0
ID Fan Motor,60.78886349397061,1.2222026165643929,12.434847198509543,1531.7290941083281,0
ID Fan Motor,50.919851670529056,2.778704436593204,13.172289893194725,1285.6945745920896,0
Hydraulic Gesa Moulding Motor,68.17541843449175,4.2181787727945785,11.808146597914359,1259.0467004962056,0
Hydraulic Gesa Moulding Motor,88.81401277856055,4.6365082141157385,43.732308630041075,1160.871584063841,1
Hybrid Moulding Machine Motor,82.08851391067101,4.663630875131184,28.481264414633124,1831.4784655350447,0
Hybrid Moulding Machine Motor,90.46010642215734,6.867436626143041,46.47531041900399,1050.5113087884208,1
Hydraulic Gesa Moulding Motor,90.92614662193601,7.41082392693783,25.954356850230997,1245.7927415662068,1
ID Fan Motor,53.41205900057226,5.764202999907543,14.502669391060024,1242.8527330751153,0
Automatic Mould-Handling Motor,89.79848775198553,5.793548562542258,15.73399150267581,1427.0596618778955,1
Automatic Mould-Handling Motor,81.06129363099085,1.1115408125008006,32.691190110290016,1515.18894327455,0
Hybrid Moulding Machine Motor,62.37885653738436,2.7128819382853386,34.641820575195744,1756.9196382970417,0
Dust Collector Fan Motor,70.68087392291163,6.184957743102194,21.780449631606047,2028.8812416909686,0
Dust Collector Fan Motor,65.465669747568,3.714059404338754,20.1467241620897,1668.2353579104704,0
ID Fan Motor,57.51183681503561,1.626184900764,4.792448123973759,1640.3151232494351,0
Dust Collector Fan Motor,67.43559295896682,6.514414981960214,18.14359088679502,1761.5741966437179,0
ID Fan Motor,47.90040627127348,3.093994785030034,11.33876154178575,1293.847447400247,0
Hybrid Moulding Machine Motor,55.95498634806458,11.50087022276526,25.59841914723804,1860.4141332653073,1
Dust Collector Fan Motor,50.692027960156025,6.714609083873268,15.51280916766065,1524.0596137622445,0
